timestamp,origin,buses,passengers,waiting_psg,commuting_psg
00:30.0,tick,2,0,0,0
01:00.0,tick,8,10,10,0
01:30.0,tick,14,20,20,0
02:00.0,tick,20,30,30,0
02:30.0,tick,22,40,40,0
03:00.0,tick,23,50,50,0
03:30.0,tick,26,60,60,0
04:00.0,tick,26,70,70,0
04:30.0,tick,30,80,80,0
05:00.0,tick,32,90,90,0
05:30.0,tick,38,100,100,0
06:00.0,tick,44,110,110,0
06:30.0,tick,50,128,128,0
07:00.0,tick,57,162,162,0
07:30.0,tick,62,220,220,0
08:00.0,tick,71,296,228,68
08:30.0,tick,81,391,299,92
09:00.0,tick,95,520,410,110
09:30.0,tick,106,599,413,186
10:00.0,tick,116,633,374,259
10:30.0,tick,126,651,382,269
11:00.0,tick,132,661,385,276
11:30.0,tick,133,667,295,372
12:00.0,tick,135,668,276,392
12:30.0,tick,142,676,280,396
13:00.0,tick,148,686,135,551
13:30.0,tick,154,693,125,568
14:00.0,tick,159,697,127,570
14:30.0,tick,165,714,130,584
15:00.0,tick,172,726,61,665
15:30.0,tick,177,731,69,662
16:00.0,tick,184,752,48,704
16:30.0,tick,186,792,55,737
17:00.0,tick,188,872,109,763
17:30.0,tick,194,1032,165,867
18:00.0,tick,208,1069,140,929
18:30.0,tick,222,1101,128,973
19:00.0,tick,212,1086,71,1015
19:30.0,tick,199,1059,33,1026
20:00.0,tick,200,1042,14,1028
20:30.0,updated_bus_passengers,175,958,4,954
21:00.0,tick,149,891,6,885
21:30.0,tick,130,860,2,858
22:00.0,tick,96,775,2,773
22:30.0,tick,76,764,2,762
23:00.0,tick,67,761,1,760
23:30.0,tick,61,757,1,756
00:00.0,add_passengers,56,761,2,759
00:30.0,tick,50,763,4,759
01:00.0,tick,50,766,6,760
01:30.0,tick,50,773,10,763
02:00.0,tick,48,779,10,769
02:30.0,func_wrapper,42,783,9,774
03:00.0,tick,38,786,12,774
03:30.0,updated_bus_passengers,32,789,15,774
04:00.0,tick,32,799,19,780
04:30.0,updated_bus_passengers,27,802,27,775
05:00.0,tick,28,806,29,777
05:30.0,tick,28,813,33,780
06:00.0,tick,30,820,28,792
06:30.0,tick,31,834,29,805
07:00.0,tick,36,865,28,837
07:30.0,tick,40,918,41,877
08:00.0,tick,48,989,51,938
08:30.0,tick,56,1072,53,1019
09:00.0,tick,65,1175,62,1113
09:30.0,tick,72,1226,38,1188
10:00.0,tick,76,1212,24,1188
10:30.0,tick,80,1182,14,1168
11:00.0,tick,79,1156,6,1150
11:30.0,tick,73,1128,2,1126
12:00.0,tick,67,1103,5,1098
12:30.0,tick,61,1093,7,1086
13:00.0,tick,58,1088,6,1082
13:30.0,tick,51,1094,13,1081
14:00.0,tick,48,1094,11,1083
14:30.0,tick,45,1104,11,1093
15:00.0,tick,46,1118,10,1108
15:30.0,tick,48,1134,15,1119
16:00.0,tick,49,1162,19,1143
16:30.0,tick,48,1211,50,1161
17:00.0,tick,44,1323,74,1249
17:30.0,tick,43,1470,130,1340
18:00.0,tick,52,1518,116,1402
18:30.0,tick,59,1555,105,1450
19:00.0,tick,67,1576,72,1504
19:30.0,tick,76,1576,36,1540
20:00.0,tick,82,1551,19,1532
20:30.0,tick,83,1518,5,1513
21:00.0,tick,86,1479,3,1476
21:30.0,tick,84,1453,2,1451
22:00.0,tick,80,1432,4,1428
22:30.0,tick,76,1418,2,1416
