timestamp,type,id,value
00:30.0,Bus,1,0
00:30.0,Bus,2,0
00:30.0,BusStop,A,1
00:30.0,Bus,3,0
00:30.0,BusStop,B,1
00:30.0,Bus,4,0
00:30.0,Bus,6,0
00:30.0,Bus,5,0
00:30.0,BusStop,C,1
00:30.0,BusStop,D,1
00:30.0,BusStop,E,1
00:30.0,BusStop,F,1
00:30.0,BusStop,G,1
00:30.0,BusStop,H,1
00:30.0,BusStop,I,1
00:30.0,BusStop,J,1
01:00.0,Bus,7,0
01:00.0,Bus,8,0
01:00.0,BusStop,A,2
01:00.0,Bus,9,0
01:00.0,Bus,11,0
01:00.0,Bus,10,0
01:00.0,BusStop,B,2
01:00.0,Bus,12,0
01:00.0,BusStop,C,2
01:00.0,BusStop,D,2
01:00.0,BusStop,E,2
01:00.0,BusStop,F,2
01:00.0,BusStop,G,2
01:00.0,BusStop,H,2
01:00.0,BusStop,I,2
01:00.0,BusStop,J,2
01:00.0,Bus,6,0
01:00.0,Bus,2,0
01:00.0,Bus,5,0
01:00.0,Bus,3,0
01:00.0,Bus,4,0
01:00.0,Bus,1,0
01:30.0,Bus,13,0
01:30.0,Bus,14,0
01:30.0,Bus,15,0
01:30.0,Bus,16,0
01:30.0,BusStop,A,3
01:30.0,Bus,17,0
01:30.0,BusStop,B,3
01:30.0,Bus,18,0
01:30.0,BusStop,C,3
01:30.0,BusStop,D,3
01:30.0,BusStop,E,3
01:30.0,BusStop,F,3
01:30.0,BusStop,G,3
01:30.0,BusStop,H,3
01:30.0,BusStop,I,3
01:30.0,BusStop,J,3
01:30.0,Bus,12,0
01:30.0,Bus,11,0
01:30.0,Bus,7,0
01:30.0,Bus,8,0
01:30.0,Bus,10,0
01:30.0,Bus,9,0
02:00.0,Bus,19,0
02:00.0,Bus,20,0
02:00.0,BusStop,A,4
02:00.0,Bus,21,0
02:00.0,Bus,22,0
02:00.0,Bus,23,0
02:00.0,BusStop,B,4
02:00.0,Bus,24,0
02:00.0,BusStop,C,4
02:00.0,BusStop,D,4
02:00.0,BusStop,E,4
02:00.0,BusStop,F,4
02:00.0,BusStop,G,4
02:00.0,BusStop,H,4
02:00.0,BusStop,I,4
02:00.0,BusStop,J,4
02:00.0,Bus,2,0
02:00.0,Bus,3,0
02:00.0,Bus,4,0
02:00.0,Bus,6,0
02:00.0,Bus,1,0
02:00.0,Bus,5,0
02:00.0,Bus,17,0
02:00.0,Bus,18,0
02:00.0,Bus,16,0
02:00.0,Bus,14,0
02:00.0,Bus,13,0
02:00.0,Bus,15,0
02:30.0,Bus,26,0
02:30.0,Bus,25,0
02:30.0,Bus,28,0
02:30.0,Bus,27,0
02:30.0,BusStop,A,5
02:30.0,Bus,29,0
02:30.0,Bus,30,0
02:30.0,BusStop,B,5
02:30.0,BusStop,C,5
02:30.0,BusStop,D,5
02:30.0,BusStop,E,5
02:30.0,BusStop,F,5
02:30.0,BusStop,G,5
02:30.0,BusStop,H,5
02:30.0,BusStop,I,5
02:30.0,BusStop,J,5
02:30.0,Bus,7,0
02:30.0,Bus,9,0
02:30.0,Bus,8,0
02:30.0,Bus,10,0
02:30.0,Bus,11,0
02:30.0,Bus,12,0
02:30.0,Bus,24,0
02:30.0,Bus,19,0
02:30.0,Bus,21,0
02:30.0,Bus,23,0
02:30.0,Bus,20,0
02:30.0,Bus,22,0
03:00.0,Bus,31,0
03:00.0,Bus,32,0
03:00.0,Bus,33,0
03:00.0,Bus,34,0
03:00.0,Bus,35,0
03:00.0,BusStop,A,6
03:00.0,Bus,36,0
03:00.0,BusStop,B,6
03:00.0,BusStop,C,6
03:00.0,BusStop,D,6
03:00.0,BusStop,E,6
03:00.0,BusStop,F,6
03:00.0,BusStop,G,6
03:00.0,BusStop,H,6
03:00.0,BusStop,I,6
03:00.0,BusStop,J,6
03:00.0,Bus,6,0
03:00.0,Bus,5,0
03:00.0,Bus,1,0
03:00.0,Bus,3,0
03:00.0,Bus,4,0
03:00.0,Bus,2,0
03:00.0,Bus,13,0
03:00.0,Bus,14,0
03:00.0,Bus,18,0
03:00.0,Bus,16,0
03:00.0,Bus,15,0
03:00.0,Bus,17,0
03:00.0,Bus,30,0
03:00.0,Bus,27,0
03:00.0,Bus,26,0
03:00.0,Bus,25,0
03:00.0,Bus,28,0
03:00.0,Bus,29,0
03:30.0,Bus,37,0
03:30.0,Bus,38,0
03:30.0,Bus,40,0
03:30.0,Bus,39,0
03:30.0,BusStop,A,7
03:30.0,Bus,41,0
03:30.0,BusStop,B,7
03:30.0,BusStop,C,7
03:30.0,Bus,42,0
03:30.0,BusStop,D,7
03:30.0,BusStop,E,7
03:30.0,BusStop,F,7
03:30.0,BusStop,G,7
03:30.0,BusStop,H,7
03:30.0,BusStop,I,7
03:30.0,BusStop,J,7
03:30.0,Bus,9,0
03:30.0,Bus,7,0
03:30.0,Bus,10,0
03:30.0,Bus,12,0
03:30.0,Bus,11,0
03:30.0,Bus,8,0
03:30.0,Bus,21,0
03:30.0,Bus,19,0
03:30.0,Bus,22,0
03:30.0,Bus,24,0
03:30.0,Bus,23,0
03:30.0,Bus,20,0
03:30.0,Bus,34,0
03:30.0,Bus,36,0
03:30.0,Bus,33,0
03:30.0,Bus,35,0
03:30.0,Bus,31,0
03:30.0,Bus,32,0
04:00.0,Bus,43,0
04:00.0,Bus,45,0
04:00.0,Bus,44,0
04:00.0,BusStop,A,8
04:00.0,Bus,46,0
04:00.0,BusStop,B,8
04:00.0,BusStop,C,8
04:00.0,Bus,47,0
04:00.0,BusStop,D,8
04:00.0,Bus,48,0
04:00.0,BusStop,E,8
04:00.0,BusStop,F,8
04:00.0,BusStop,G,8
04:00.0,BusStop,H,8
04:00.0,BusStop,I,8
04:00.0,BusStop,J,8
04:00.0,Bus,2,0
04:00.0,Bus,3,0
04:00.0,Bus,4,0
04:00.0,Bus,1,0
04:00.0,Bus,5,0
04:00.0,Bus,6,0
04:00.0,Bus,15,0
04:00.0,Bus,18,0
04:00.0,Bus,16,0
04:00.0,Bus,13,0
04:00.0,Bus,17,0
04:00.0,Bus,14,0
04:00.0,Bus,28,0
04:00.0,Bus,30,0
04:00.0,Bus,29,0
04:00.0,Bus,27,0
04:00.0,Bus,25,0
04:00.0,Bus,26,0
04:00.0,Bus,41,0
04:00.0,Bus,42,0
04:00.0,Bus,37,0
04:00.0,Bus,40,0
04:00.0,Bus,38,0
04:00.0,Bus,39,0
04:30.0,Bus,49,0
04:30.0,Bus,50,0
04:30.0,Bus,51,0
04:30.0,Bus,52,0
04:30.0,BusStop,A,9
04:30.0,Bus,53,0
04:30.0,BusStop,B,9
04:30.0,Bus,54,0
04:30.0,BusStop,C,9
04:30.0,BusStop,D,9
04:30.0,BusStop,E,9
04:30.0,BusStop,F,9
04:30.0,BusStop,G,9
04:30.0,BusStop,H,9
04:30.0,BusStop,I,9
04:30.0,BusStop,J,9
04:30.0,Bus,10,0
04:30.0,Bus,7,0
04:30.0,Bus,8,0
04:30.0,Bus,11,0
04:30.0,Bus,12,0
04:30.0,Bus,9,0
04:30.0,Bus,24,0
04:30.0,Bus,23,0
04:30.0,Bus,20,0
04:30.0,Bus,21,0
04:30.0,Bus,19,0
04:30.0,Bus,22,0
04:30.0,Bus,32,0
04:30.0,Bus,36,0
04:30.0,Bus,35,0
04:30.0,Bus,33,0
04:30.0,Bus,31,0
04:30.0,Bus,34,0
04:30.0,Bus,44,0
04:30.0,Bus,46,0
04:30.0,Bus,45,0
04:30.0,Bus,43,0
04:30.0,Bus,48,0
04:30.0,Bus,47,0
05:00.0,Bus,55,0
05:00.0,Bus,56,0
05:00.0,Bus,57,0
05:00.0,Bus,58,0
05:00.0,BusStop,A,10
05:00.0,Bus,59,0
05:00.0,BusStop,B,10
05:00.0,Bus,60,0
05:00.0,BusStop,C,10
05:00.0,BusStop,D,10
05:00.0,BusStop,E,10
05:00.0,BusStop,F,10
05:00.0,BusStop,G,10
05:00.0,BusStop,H,10
05:00.0,BusStop,I,10
05:00.0,BusStop,J,10
05:00.0,Bus,6,0
05:00.0,Bus,4,0
05:00.0,Bus,3,0
05:00.0,Bus,2,0
05:00.0,Bus,1,0
05:00.0,Bus,5,0
05:00.0,Bus,14,0
05:00.0,Bus,18,0
05:00.0,Bus,17,0
05:00.0,Bus,16,0
05:00.0,Bus,15,0
05:00.0,Bus,13,0
05:00.0,Bus,26,0
05:00.0,Bus,25,0
05:00.0,Bus,27,0
05:00.0,Bus,29,0
05:00.0,Bus,28,0
05:00.0,Bus,30,0
05:00.0,Bus,42,0
05:00.0,Bus,40,0
05:00.0,Bus,37,0
05:00.0,Bus,38,0
05:00.0,Bus,39,0
05:00.0,Bus,41,0
05:00.0,Bus,51,0
05:00.0,Bus,49,0
