timestamp,origin,buses,passengers,waiting_psg,commuting_psg
00:30.0,tick,1,0,0,0
01:00.0,tick,8,10,10,0
01:30.0,tick,14,20,20,0
02:00.0,tick,20,30,30,0
02:30.0,tick,27,40,40,0
03:00.0,tick,32,50,50,0
03:30.0,tick,38,60,60,0
04:00.0,tick,44,70,70,0
04:30.0,tick,50,80,80,0
05:00.0,tick,55,90,90,0
05:30.0,tick,62,100,100,0
06:00.0,tick,68,110,110,0
06:30.0,tick,74,128,128,0
07:00.0,tick,80,162,162,0
07:30.0,tick,86,220,220,0
08:00.0,tick,91,296,168,128
08:30.0,tick,97,391,225,166
09:00.0,tick,104,520,321,199
09:30.0,tick,110,599,369,230
10:00.0,tick,116,633,381,252
10:30.0,tick,122,651,386,265
11:00.0,tick,128,661,387,274
11:30.0,tick,134,667,168,499
12:00.0,tick,140,653,125,528
12:30.0,tick,145,657,125,532
13:00.0,tick,152,667,128,539
13:30.0,tick,158,685,132,553
14:00.0,tick,164,694,133,561
14:30.0,tick,170,712,138,574
15:00.0,tick,175,715,30,685
15:30.0,tick,182,686,35,651
16:00.0,tick,187,688,40,648
16:30.0,tick,193,739,57,682
17:00.0,tick,200,854,89,765
17:30.0,tick,206,1013,123,890
18:00.0,tick,184,976,68,908
18:30.0,tick,160,967,62,905
19:00.0,tick,164,999,53,946
19:30.0,tick,168,1001,43,958
20:00.0,tick,172,983,26,957
20:30.0,tick,132,898,15,883
21:00.0,tick,71,753,11,742
21:30.0,tick,51,721,7,714
22:00.0,tick,52,707,5,702
22:30.0,tick,51,702,6,696
23:00.0,tick,52,698,8,690
23:30.0,tick,52,698,7,691
00:00.0,add_passengers,50,700,5,695
00:30.0,tick,46,705,9,696
01:00.0,tick,45,711,7,704
01:30.0,tick,44,710,7,703
02:00.0,updated_bus_passengers,44,712,11,701
02:30.0,tick,46,723,8,715
03:00.0,tick,46,727,10,717
03:30.0,tick,46,733,7,726
04:00.0,tick,48,738,5,733
04:30.0,tick,48,740,6,734
05:00.0,tick,52,748,7,741
05:30.0,tick,52,751,6,745
06:00.0,tick,51,753,5,748
06:30.0,tick,52,766,8,758
07:00.0,func_wrapper,50,785,17,768
07:30.0,tick,52,845,27,818
08:00.0,tick,50,909,57,852
08:30.0,tick,51,1000,55,945
09:00.0,tick,50,1103,163,940
09:30.0,tick,52,1154,69,1085
10:00.0,updated_bus_passengers,50,1152,58,1094
10:30.0,tick,52,1137,35,1102
11:00.0,func_wrapper,50,1106,30,1076
11:30.0,tick,52,1086,11,1075
12:00.0,tick,50,1057,9,1048
12:30.0,tick,52,1043,10,1033
13:00.0,tick,50,1026,11,1015
13:30.0,tick,50,1039,8,1031
14:00.0,tick,52,1042,18,1024
14:30.0,tick,51,1049,8,1041
15:00.0,tick,52,1062,7,1055
15:30.0,tick,52,1076,12,1064
16:00.0,tick,51,1104,22,1082
16:30.0,tick,52,1149,32,1117
17:00.0,tick,52,1259,59,1200
17:30.0,tick,52,1405,87,1318
18:00.0,tick,52,1461,77,1384
18:30.0,tick,52,1475,68,1407
19:00.0,tick,52,1506,58,1448
19:30.0,tick,52,1485,41,1444
20:00.0,tick,52,1455,27,1428
20:30.0,tick,54,1423,20,1403
21:00.0,tick,52,1399,14,1385
21:30.0,tick,52,1379,9,1370
22:00.0,updated_bus_passengers,50,1361,6,1355
22:30.0,updated_bus_passengers,50,1349,9,1340
