timestamp,origin,buses,passengers,waiting_psg,commuting_psg
00:30.0,tick,2,0,0,0
01:00.0,add_passengers,6,10,10,0
01:30.0,add_passengers,6,20,20,0
02:00.0,tick,8,30,30,0
02:30.0,tick,16,40,40,0
03:00.0,add_passengers,18,50,50,0
03:30.0,tick,18,60,60,0
04:00.0,tick,20,70,70,0
04:30.0,tick,26,80,80,0
05:00.0,add_passengers,30,90,90,0
05:30.0,tick,30,100,100,0
06:00.0,tick,32,110,110,0
06:30.0,tick,38,128,128,0
07:00.0,add_passengers,42,162,162,0
07:30.0,tick,42,220,220,0
08:00.0,tick,44,296,296,0
08:30.0,tick,50,391,391,0
09:00.0,add_passengers,54,520,520,0
09:30.0,add_passengers,54,599,599,0
10:00.0,tick,56,633,633,0
10:30.0,tick,62,651,493,158
11:00.0,add_passengers,66,661,385,276
11:30.0,add_passengers,66,671,388,283
12:00.0,tick,66,681,398,283
12:30.0,tick,74,691,408,283
13:00.0,add_passengers,78,701,407,294
13:30.0,add_passengers,78,719,417,302
14:00.0,tick,80,729,427,302
14:30.0,tick,85,747,445,302
15:00.0,add_passengers,90,765,449,316
15:30.0,add_passengers,90,791,462,329
16:00.0,tick,91,806,172,634
16:30.0,tick,98,844,207,637
17:00.0,add_passengers,102,968,276,692
17:30.0,add_passengers,102,1134,378,756
18:00.0,tick,104,1208,377,831
18:30.0,tick,109,1273,393,880
19:00.0,add_passengers,114,1339,383,956
19:30.0,updated_bus_passengers,114,1356,387,969
20:00.0,tick,116,1351,147,1204
20:30.0,tick,121,1309,131,1178
21:00.0,add_passengers,126,1246,136,1110
21:30.0,add_passengers,126,1252,137,1115
22:00.0,tick,129,1257,100,1157
22:30.0,tick,133,1266,99,1167
23:00.0,add_passengers,138,1265,92,1173
23:30.0,add_passengers,130,1233,29,1204
00:00.0,updated_bus_passengers,110,1011,18,993
00:30.0,tick,98,990,26,964
01:00.0,add_passengers,102,991,29,962
01:30.0,add_passengers,102,998,23,975
02:00.0,tick,101,999,29,970
02:30.0,func_wrapper,104,1003,32,971
03:00.0,add_passengers,78,952,25,927
03:30.0,updated_bus_passengers,33,842,34,808
04:00.0,tick,19,747,21,726
04:30.0,tick,25,753,30,723
05:00.0,add_passengers,28,760,20,740
05:30.0,updated_bus_passengers,26,765,25,740
06:00.0,tick,24,768,18,750
06:30.0,tick,29,786,33,753
07:00.0,add_passengers,28,804,31,773
07:30.0,updated_bus_passengers,28,861,68,793
08:00.0,tick,24,918,84,834
08:30.0,tick,28,1009,135,874
09:00.0,add_passengers,28,1114,167,947
09:30.0,updated_bus_passengers,27,1179,183,996
10:00.0,tick,25,1171,123,1048
10:30.0,tick,28,1166,105,1061
11:00.0,add_passengers,28,1137,85,1052
11:30.0,updated_bus_passengers,24,1113,83,1030
12:00.0,tick,23,1092,47,1045
12:30.0,tick,28,1088,41,1047
13:00.0,add_passengers,28,1061,37,1024
13:30.0,add_passengers,24,1060,44,1016
14:00.0,tick,24,1068,30,1038
14:30.0,tick,28,1073,42,1031
15:00.0,add_passengers,28,1082,32,1050
15:30.0,updated_bus_passengers,24,1096,49,1047
16:00.0,tick,24,1123,48,1075
16:30.0,tick,28,1176,82,1094
17:00.0,add_passengers,28,1288,129,1159
17:30.0,func_wrapper,27,1422,257,1165
18:00.0,tick,24,1498,177,1321
18:30.0,tick,28,1547,183,1364
19:00.0,add_passengers,28,1568,161,1407
19:30.0,add_passengers,24,1555,159,1396
20:00.0,tick,24,1547,105,1442
20:30.0,tick,27,1532,86,1446
21:00.0,add_passengers,28,1492,70,1422
21:30.0,add_passengers,24,1469,71,1398
22:00.0,tick,24,1447,40,1407
22:30.0,tick,27,1445,39,1406
23:00.0,add_passengers,28,1423,34,1389
