timestamp,origin,buses,passengers,waiting_psg,commuting_psg
01:00.0,tick,0,0,0,0
02:00.0,tick,0,2,2,0
03:00.0,tick,1,4,4,0
04:00.0,tick,1,6,6,0
05:00.0,tick,1,8,8,0
06:00.0,tick,1,10,10,0
07:00.0,tick,1,12,12,0
08:00.0,tick,1,14,14,0
09:00.0,tick,1,16,12,4
10:00.0,tick,1,18,14,4
11:00.0,tick,2,20,16,4
12:00.0,tick,2,22,18,4
13:00.0,tick,2,24,16,8
14:00.0,tick,2,22,9,13
15:00.0,tick,2,24,11,13
16:00.0,tick,3,26,13,13
17:00.0,tick,4,28,15,13
18:00.0,tick,4,30,12,18
19:00.0,tick,4,21,8,13
20:00.0,tick,2,12,7,5
01:00.0,tick,0,0,0,0
02:00.0,tick,0,2,2,0
03:00.0,tick,1,4,4,0
04:00.0,tick,1,6,6,0
05:00.0,tick,1,8,8,0
01:00.0,tick,0,0,0,0
02:00.0,tick,0,2,2,0
03:00.0,tick,1,5,5,0
04:00.0,tick,1,6,6,0
05:00.0,tick,1,8,8,0
06:00.0,tick,1,10,10,0
07:00.0,tick,1,12,12,0
08:00.0,tick,1,14,14,0
09:00.0,tick,1,16,12,4
10:00.0,tick,1,18,14,4
11:00.0,tick,2,20,16,4
12:00.0,tick,2,22,18,4
01:00.0,add_passengers,0,0,0,0
02:00.0,add_passengers,0,2,2,0
03:00.0,tick,1,4,4,0
04:00.0,tick,1,6,6,0
05:00.0,tick,1,8,8,0
06:00.0,tick,1,10,10,0
07:00.0,tick,1,12,12,0
08:00.0,updated_bus_passengers,1,10,10,0
01:00.0,add_passengers,0,0,0,0
02:00.0,add_passengers,0,2,2,0
03:00.0,tick,1,4,4,0
01:00.0,add_passengers,0,0,0,0
02:00.0,add_passengers,0,2,2,0
03:00.0,tick,1,4,4,0
04:00.0,tick,1,6,6,0
05:00.0,tick,1,8,8,0
06:00.0,tick,1,10,10,0
07:00.0,tick,1,12,12,0
08:00.0,updated_bus_passengers,1,10,10,0
09:00.0,add_passengers,1,16,12,4
10:00.0,add_passengers,1,18,14,4
11:00.0,tick,2,20,16,4
12:00.0,updated_bus_passengers,2,18,14,4
13:00.0,updated_bus_passengers,2,18,10,8
14:00.0,tick,2,22,8,14
15:00.0,tick,2,24,10,14
16:00.0,tick,3,26,12,14
17:00.0,tick,4,28,14,14
18:00.0,tick,4,30,12,18
19:00.0,updated_bus_passengers,4,23,7,16
20:00.0,updated_bus_passengers,2,11,6,5
01:00.0,generate,0,0,0,0
02:00.0,generate,0,0,0,0
03:00.0,generate,0,0,0,0
04:00.0,generate,0,0,0,0
00:00.0,tick,1,0,0,0
01:00.0,generate,0,0,0,0
02:00.0,generate,0,0,0,0
03:00.0,generate,0,0,0,0
04:00.0,generate,0,0,0,0
01:00.0,generate,0,0,0,0
02:00.0,generate,0,0,0,0
03:00.0,generate,0,0,0,0
04:00.0,generate,0,0,0,0
01:00.0,generate,0,0,0,0
02:00.0,generate,0,0,0,0
03:00.0,generate,0,0,0,0
04:00.0,generate,0,0,0,0
00:30.0,add_passengers,0,0,0,0
01:00.0,add_passengers,0,2,2,0
01:30.0,add_passengers,0,4,4,0
02:00.0,generate,0,6,6,0
00:30.0,generate,0,0,0,0
01:00.0,generate,0,2,2,0
01:30.0,generate,0,4,4,0
02:00.0,add_passengers,0,6,6,0
__:__,add_passengers,0,8,8,0
00:30.0,generate,0,0,0,0
01:00.0,add_passengers,0,2,2,0
01:30.0,generate,0,4,4,0
02:00.0,add_passengers,0,6,6,0
00:30.0,generate,0,0,0,0
01:00.0,add_passengers,0,1,1,0
01:30.0,generate,0,2,2,0
02:00.0,add_passengers,0,3,3,0
02:30.0,generate,0,4,4,0
03:00.0,generate,0,5,5,0
03:30.0,add_passengers,0,6,6,0
04:00.0,add_passengers,0,7,7,0
04:30.0,generate,0,8,8,0
05:00.0,add_passengers,0,9,9,0
