timestamp,type,id,value
01:00.0,Bus,1,0
01:00.0,Bus,3,0
01:00.0,Bus,2,0
01:00.0,Bus,4,0
01:00.0,BusStop,A,1
01:00.0,BusStop,B,1
01:00.0,BusStop,D,1
02:00.0,Bus,6,0
02:00.0,Bus,5,0
02:00.0,BusStop,A,2
02:00.0,BusStop,B,2
02:00.0,BusStop,D,2
02:00.0,Bus,1,0
02:00.0,Bus,3,0
02:00.0,Bus,4,0
02:00.0,Bus,2,0
03:00.0,BusStop,A,3
03:00.0,BusStop,B,3
03:00.0,BusStop,D,3
04:00.0,Bus,6,0
04:00.0,Bus,5,0
04:00.0,BusStop,A,4
04:00.0,BusStop,B,4
04:00.0,BusStop,D,4
04:00.0,Bus,1,0
04:00.0,Bus,4,0
04:00.0,BusStop,D,2
04:00.0,BusStop,A,2
04:00.0,Bus,2,2
04:00.0,Bus,3,2
04:00.0,Bus,2,2
04:00.0,Bus,3,2
05:00.0,Bus,7,0
05:00.0,Bus,8,0
05:00.0,BusStop,A,3
05:00.0,BusStop,B,5
05:00.0,BusStop,D,3
05:00.0,BusStop,D,1
05:00.0,BusStop,A,1
05:00.0,Bus,6,2
05:00.0,Bus,5,2
05:00.0,Bus,6,2
05:00.0,Bus,5,2
06:00.0,Bus,9,0
06:00.0,Bus,10,0
06:00.0,Bus,11,0
06:00.0,Bus,12,0
06:00.0,BusStop,A,2
06:00.0,BusStop,B,6
06:00.0,BusStop,D,2
06:00.0,BusStop,A,1
06:00.0,BusStop,D,1
06:00.0,Bus,1,1
06:00.0,Bus,4,1
06:00.0,Bus,1,1
06:00.0,Bus,4,1
06:00.0,Bus,3,2
06:00.0,Bus,2,2
06:00.0,BusStop,D,0
06:00.0,BusStop,A,0
06:00.0,Bus,8,1
06:00.0,Bus,7,1
06:00.0,Bus,8,1
06:00.0,Bus,7,1
07:00.0,Bus,13,0
07:00.0,Bus,14,0
07:00.0,Bus,15,0
07:00.0,Bus,16,0
07:00.0,BusStop,A,1
07:00.0,BusStop,B,7
07:00.0,BusStop,D,1
07:00.0,Bus,5,2
07:00.0,Bus,6,2
07:00.0,BusStop,D,0
07:00.0,BusStop,A,0
07:00.0,BusStop,A,0
07:00.0,BusStop,D,0
07:00.0,Bus,12,1
07:00.0,Bus,9,1
07:00.0,Bus,11,0
07:00.0,Bus,12,1
07:00.0,Bus,10,0
07:00.0,Bus,9,1
07:00.0,Bus,11,0
07:00.0,Bus,10,0
08:00.0,Bus,18,0
08:00.0,Bus,17,0
08:00.0,Bus,19,0
08:00.0,Bus,20,0
08:00.0,BusStop,A,1
08:00.0,BusStop,B,8
08:00.0,Bus,21,0
08:00.0,Bus,22,0
08:00.0,BusStop,D,1
08:00.0,Bus,4,1
08:00.0,Bus,1,1
08:00.0,Bus,2,2
08:00.0,Bus,3,2
08:00.0,BusStop,B,5
08:00.0,Bus,7,3
08:00.0,BusStop,B,2
08:00.0,Bus,7,3
08:00.0,Bus,8,3
08:00.0,Bus,8,3
08:00.0,BusStop,D,0
08:00.0,BusStop,A,0
08:00.0,BusStop,D,0
08:00.0,Bus,14,1
08:00.0,BusStop,A,0
08:00.0,Bus,15,1
08:00.0,Bus,14,1
08:00.0,Bus,16,0
08:00.0,Bus,13,0
08:00.0,Bus,15,1
08:00.0,Bus,16,0
08:00.0,Bus,13,0
09:00.0,Bus,23,0
09:00.0,Bus,24,0
09:00.0,Bus,25,0
09:00.0,BusStop,A,1
09:00.0,Bus,27,0
09:00.0,Bus,26,0
09:00.0,Bus,28,0
09:00.0,Bus,29,0
09:00.0,BusStop,B,3
09:00.0,BusStop,D,1
09:00.0,Bus,30,0
09:00.0,BusStop,B,3
09:00.0,Bus,5,1
09:00.0,BusStop,B,1
09:00.0,Bus,5,1
09:00.0,Bus,6,3
09:00.0,Bus,6,3
09:00.0,BusStop,B,1
09:00.0,Bus,12,1
09:00.0,BusStop,B,0
09:00.0,Bus,12,1
09:00.0,Bus,11,1
09:00.0,BusStop,B,0
09:00.0,Bus,11,1
09:00.0,Bus,9,1
09:00.0,BusStop,B,0
09:00.0,Bus,9,1
09:00.0,Bus,10,0
09:00.0,Bus,10,0
09:00.0,BusStop,A,0
09:00.0,BusStop,D,0
09:00.0,BusStop,A,0
09:00.0,Bus,17,1
09:00.0,BusStop,D,0
09:00.0,Bus,18,1
09:00.0,BusStop,A,0
09:00.0,Bus,17,1
09:00.0,Bus,19,0
09:00.0,BusStop,D,0
