timestamp,origin,buses,passengers,waiting_psg,commuting_psg
01:00.0,tick,2,0,0,0
02:00.0,tick,6,3,3,0
03:00.0,add_passengers,6,6,6,0
04:00.0,tick,6,9,9,0
05:00.0,tick,8,12,8,4
06:00.0,tick,9,15,7,8
07:00.0,tick,14,18,6,12
08:00.0,tick,18,21,7,14
09:00.0,tick,24,22,2,20
10:00.0,tick,32,23,0,23
00:30.0,tick,1,0,0,0
01:00.0,tick,4,3,3,0
01:30.0,tick,6,6,6,0
02:00.0,add_passengers,6,9,9,0
02:30.0,add_passengers,6,12,12,0
03:00.0,add_passengers,6,15,9,6
03:30.0,add_passengers,6,18,6,12
04:00.0,add_passengers,6,21,9,12
04:30.0,add_passengers,6,24,12,12
05:00.0,tick,8,27,15,12
05:30.0,tick,9,30,10,20
06:00.0,tick,12,30,6,24
06:30.0,tick,14,33,5,28
07:00.0,tick,16,34,4,30
07:30.0,tick,16,34,4,30
08:00.0,tick,16,28,3,25
08:30.0,tick,16,16,1,15
09:00.0,tick,20,15,1,14
09:30.0,tick,22,16,1,15
10:00.0,tick,24,17,0,17
10:30.0,tick,23,14,0,14
11:00.0,updated_bus_passengers,20,11,1,10
11:30.0,add_passengers,14,12,0,12
12:00.0,tick,12,14,3,11
12:30.0,tick,9,16,6,10
13:00.0,updated_bus_passengers,11,19,9,10
13:30.0,tick,7,19,6,13
14:00.0,tick,10,21,6,15
14:30.0,tick,12,23,3,20
15:00.0,updated_bus_passengers,14,25,5,20
15:30.0,tick,12,21,2,19
16:00.0,updated_bus_passengers,10,22,2,20
16:30.0,updated_bus_passengers,8,21,3,18
17:00.0,tick,7,23,5,18
17:30.0,tick,7,25,8,17
18:00.0,tick,12,25,5,20
18:30.0,tick,17,26,3,23
19:00.0,tick,22,25,2,23
19:30.0,tick,28,28,1,27
20:00.0,tick,29,28,0,28
20:30.0,tick,26,25,1,24
21:00.0,tick,22,25,2,23
21:30.0,tick,17,24,0,24
22:00.0,tick,13,24,1,23
22:30.0,tick,14,25,1,24
23:00.0,tick,14,27,2,25
23:30.0,tick,14,27,0,27
00:00.0,add_passengers,12,28,0,28
00:30.0,tick,11,27,3,24
01:00.0,tick,9,28,3,25
01:30.0,tick,10,30,6,24
02:00.0,updated_bus_passengers,8,28,3,25
02:30.0,updated_bus_passengers,8,31,4,27
03:00.0,add_passengers,6,29,4,25
03:30.0,add_passengers,4,28,6,22
04:00.0,updated_bus_passengers,4,31,9,22
04:30.0,add_passengers,0,31,12,19
05:00.0,tick,1,34,15,19
05:30.0,tick,4,37,18,19
06:00.0,tick,6,40,13,27
06:30.0,tick,7,43,11,32
07:00.0,tick,10,44,9,35
07:30.0,tick,13,46,8,38
08:00.0,tick,14,39,3,36
08:30.0,tick,16,35,0,35
09:00.0,tick,20,32,1,31
09:30.0,tick,23,30,0,30
10:00.0,tick,23,32,0,32
10:30.0,tick,24,32,0,32
11:00.0,add_passengers,20,31,0,31
11:30.0,updated_bus_passengers,14,31,1,30
12:00.0,tick,12,33,2,31
12:30.0,tick,8,32,4,28
13:00.0,tick,7,32,3,29
13:30.0,tick,8,34,4,30
14:00.0,tick,9,36,7,29
14:30.0,tick,12,39,6,33
15:00.0,tick,12,38,2,36
15:30.0,tick,12,37,2,35
16:00.0,add_passengers,10,36,2,34
16:30.0,add_passengers,8,37,2,35
17:00.0,tick,7,37,3,34
17:30.0,tick,8,37,6,31
18:00.0,tick,11,37,5,32
18:30.0,tick,16,38,3,35
19:00.0,tick,21,39,2,37
19:30.0,tick,27,41,1,40
20:00.0,tick,30,39,0,39
20:30.0,tick,26,38,0,38
21:00.0,tick,22,38,0,38
21:30.0,tick,18,37,1,36
22:00.0,tick,14,38,3,35
22:30.0,tick,14,39,3,36
23:00.0,tick,13,39,1,38
