timestamp,type,id,value
00:30.0,Bus,1,0
00:30.0,Bus,2,0
00:30.0,BusStop,A,1
00:30.0,BusStop,B,1
00:30.0,BusStop,D,1
01:00.0,Bus,3,0
01:00.0,Bus,4,0
01:00.0,BusStop,A,2
01:00.0,BusStop,B,2
01:00.0,BusStop,D,2
01:00.0,Bus,1,0
01:00.0,Bus,2,0
01:30.0,Bus,5,0
01:30.0,Bus,6,0
01:30.0,BusStop,A,3
01:30.0,BusStop,B,3
01:30.0,BusStop,D,3
01:30.0,Bus,4,0
01:30.0,Bus,3,0
02:00.0,BusStop,A,4
02:00.0,BusStop,B,4
02:00.0,BusStop,D,4
02:00.0,Bus,1,0
02:00.0,Bus,2,0
02:30.0,Bus,5,0
02:30.0,Bus,6,0
02:30.0,BusStop,A,5
02:30.0,BusStop,B,5
02:30.0,BusStop,D,5
02:30.0,BusStop,A,2
02:30.0,BusStop,D,2
02:30.0,Bus,3,3
02:30.0,Bus,4,3
02:30.0,Bus,3,3
02:30.0,Bus,4,3
03:00.0,BusStop,A,3
03:00.0,BusStop,B,6
03:00.0,BusStop,D,3
03:00.0,BusStop,A,1
03:00.0,BusStop,D,1
03:00.0,Bus,2,2
03:00.0,Bus,1,2
03:00.0,Bus,2,2
03:00.0,Bus,1,2
03:00.0,BusStop,D,0
03:00.0,BusStop,A,0
03:00.0,Bus,6,1
03:00.0,Bus,5,1
03:00.0,Bus,6,1
03:00.0,Bus,5,1
03:30.0,BusStop,A,1
03:30.0,BusStop,B,7
03:30.0,BusStop,D,1
03:30.0,Bus,4,3
03:30.0,Bus,3,3
04:00.0,BusStop,A,2
04:00.0,BusStop,B,8
04:00.0,BusStop,D,2
04:00.0,Bus,1,2
04:00.0,Bus,2,2
04:00.0,Bus,5,1
04:00.0,Bus,6,1
04:30.0,BusStop,A,3
04:30.0,BusStop,B,9
04:30.0,BusStop,D,3
04:30.0,Bus,3,3
04:30.0,Bus,4,3
05:00.0,Bus,7,0
05:00.0,Bus,8,0
05:00.0,BusStop,A,4
05:00.0,BusStop,B,10
05:00.0,BusStop,D,4
05:00.0,BusStop,B,7
05:00.0,BusStop,B,5
05:00.0,Bus,2,5
05:00.0,Bus,1,3
05:00.0,Bus,2,5
05:00.0,Bus,1,3
05:00.0,BusStop,B,4
05:00.0,Bus,5,2
05:00.0,BusStop,B,2
05:00.0,Bus,5,2
05:00.0,Bus,6,3
05:00.0,Bus,6,3
05:30.0,Bus,9,0
05:30.0,Bus,10,0
05:30.0,BusStop,A,5
05:30.0,BusStop,B,3
05:30.0,BusStop,D,5
05:30.0,BusStop,B,3
05:30.0,BusStop,B,1
05:30.0,Bus,3,2
05:30.0,Bus,3,2
05:30.0,Bus,4,4
05:30.0,Bus,4,4
05:30.0,BusStop,A,2
05:30.0,BusStop,D,2
05:30.0,Bus,7,3
05:30.0,Bus,8,3
05:30.0,Bus,7,3
05:30.0,Bus,8,3
06:00.0,Bus,11,0
06:00.0,Bus,12,0
06:00.0,BusStop,A,4
06:00.0,BusStop,B,3
06:00.0,BusStop,D,4
06:00.0,Bus,1,3
06:00.0,Bus,2,5
06:00.0,Bus,5,2
06:00.0,Bus,6,3
06:00.0,BusStop,A,2
06:00.0,BusStop,D,2
06:00.0,Bus,9,2
06:00.0,Bus,10,2
06:00.0,Bus,9,2
06:00.0,Bus,10,2
06:30.0,Bus,13,0
06:30.0,Bus,14,0
06:30.0,BusStop,A,6
06:30.0,BusStop,B,7
06:30.0,BusStop,D,6
06:30.0,Bus,3,2
06:30.0,Bus,4,4
06:30.0,BusStop,B,5
06:30.0,Bus,8,4
06:30.0,BusStop,B,4
06:30.0,Bus,8,4
06:30.0,Bus,7,3
06:30.0,Bus,7,3
06:30.0,BusStop,A,3
06:30.0,BusStop,D,3
06:30.0,Bus,11,3
06:30.0,Bus,12,3
06:30.0,Bus,11,3
06:30.0,Bus,12,3
07:00.0,Bus,15,0
07:00.0,Bus,16,0
07:00.0,BusStop,A,10
07:00.0,BusStop,B,11
07:00.0,BusStop,D,10
07:00.0,Bus,1,3
07:00.0,Bus,2,5
07:00.0,BusStop,C,0
07:00.0,BusStop,E,0
07:00.0,Bus,6,0
07:00.0,Bus,5,1
07:00.0,Bus,6,0
07:00.0,Bus,5,1
07:00.0,BusStop,B,8
07:00.0,Bus,10,5
07:00.0,BusStop,B,6
07:00.0,Bus,10,5
07:00.0,Bus,9,4
07:00.0,Bus,9,4
07:30.0,Bus,17,0
07:30.0,BusStop,A,5
07:30.0,Bus,18,0
07:30.0,Bus,19,0
07:30.0,Bus,20,0
07:30.0,BusStop,D,5
07:30.0,Bus,13,5
07:30.0,Bus,13,5
07:30.0,Bus,14,5
07:30.0,BusStop,A,11
07:30.0,Bus,14,5
07:30.0,BusStop,B,14
07:30.0,BusStop,D,15
07:30.0,BusStop,C,0
07:30.0,BusStop,E,0
07:30.0,Bus,3,0
07:30.0,Bus,4,0
07:30.0,Bus,3,0
07:30.0,Bus,4,0
07:30.0,BusStop,C,0
07:30.0,BusStop,E,0
07:30.0,Bus,7,0
07:30.0,Bus,8,1
07:30.0,Bus,7,0
07:30.0,Bus,8,1
07:30.0,BusStop,B,10
07:30.0,BusStop,B,6
07:30.0,Bus,11,6
07:30.0,Bus,12,6
07:30.0,Bus,11,6
07:30.0,Bus,12,6
07:30.0,BusStop,A,5
07:30.0,BusStop,D,7
07:30.0,Bus,15,6
07:30.0,Bus,16,8
07:30.0,Bus,15,6
07:30.0,Bus,16,8
08:00.0,Bus,21,0
08:00.0,Bus,22,0
08:00.0,Bus,23,0
08:00.0,Bus,24,0
08:00.0,BusStop,A,17
08:00.0,BusStop,B,15
08:00.0,BusStop,D,19
08:00.0,BusStop,C,0
08:00.0,BusStop,E,0
08:00.0,Bus,1,0
08:00.0,Bus,2,0
08:00.0,Bus,1,0
08:00.0,Bus,2,0
08:00.0,BusStop,E,0
08:00.0,Bus,10,0
08:00.0,Bus,10,0
08:00.0,BusStop,C,0
08:00.0,Bus,9,1
08:00.0,Bus,9,1
08:00.0,BusStop,A,8
08:00.0,BusStop,D,9
08:00.0,BusStop,B,9
08:00.0,BusStop,A,4
08:00.0,BusStop,D,4
08:00.0,Bus,17,9
08:00.0,BusStop,B,7
08:00.0,Bus,18,10
08:00.0,Bus,14,9
08:00.0,Bus,20,5
08:00.0,Bus,19,4
08:00.0,Bus,17,9
08:00.0,Bus,13,7
08:00.0,Bus,18,10
08:00.0,Bus,14,9
08:00.0,Bus,20,5
08:00.0,Bus,19,4
08:00.0,Bus,13,7
08:30.0,Bus,25,0
08:30.0,Bus,27,0
08:30.0,Bus,28,0
08:30.0,Bus,26,0
08:30.0,Bus,29,0
08:30.0,Bus,30,0
08:30.0,BusStop,A,21
08:30.0,BusStop,B,15
08:30.0,BusStop,D,21
08:30.0,BusStop,E,0
08:30.0,BusStop,C,0
08:30.0,Bus,12,1
08:30.0,Bus,11,1
08:30.0,Bus,12,1
08:30.0,Bus,11,1
08:30.0,BusStop,B,11
08:30.0,BusStop,B,5
08:30.0,Bus,16,9
08:30.0,Bus,15,9
08:30.0,Bus,16,9
08:30.0,Bus,15,9
08:30.0,BusStop,A,10
08:30.0,BusStop,D,10
08:30.0,Bus,21,11
08:30.0,BusStop,D,5
08:30.0,BusStop,A,5
08:30.0,Bus,24,11
08:30.0,Bus,21,11
08:30.0,Bus,22,5
08:30.0,Bus,23,5
08:30.0,Bus,24,11
08:30.0,Bus,22,5
08:30.0,Bus,23,5
09:00.0,Bus,31,0
09:00.0,Bus,32,0
09:00.0,Bus,33,0
09:00.0,Bus,34,0
09:00.0,BusStop,A,15
09:00.0,BusStop,B,12
09:00.0,BusStop,D,15
09:00.0,BusStop,B,8
09:00.0,BusStop,E,0
09:00.0,BusStop,B,6
09:00.0,BusStop,C,0
09:00.0,Bus,19,6
09:00.0,Bus,20,7
09:00.0,Bus,14,0
09:00.0,BusStop,B,5
09:00.0,Bus,19,6
09:00.0,Bus,13,1
09:00.0,Bus,20,7
09:00.0,Bus,14,0
09:00.0,BusStop,B,5
09:00.0,Bus,17,8
09:00.0,Bus,13,1
09:00.0,Bus,18,8
09:00.0,Bus,17,8
09:00.0,Bus,18,8
09:00.0,BusStop,D,7
09:00.0,BusStop,A,7
09:00.0,BusStop,A,3
09:00.0,BusStop,D,3
09:00.0,Bus,30,8
09:00.0,Bus,25,8
09:00.0,BusStop,A,1
09:00.0,Bus,29,4
09:00.0,BusStop,D,1
09:00.0,Bus,26,4
09:00.0,Bus,30,8
09:00.0,Bus,25,8
09:00.0,Bus,27,2
09:00.0,Bus,29,4
09:00.0,Bus,28,2
09:00.0,Bus,26,4
09:00.0,Bus,27,2
09:00.0,Bus,28,2
09:30.0,Bus,35,0
