timestamp,origin,buses,passengers,waiting_psg,commuting_psg
00:30.0,tick,1,0,0,0
01:00.0,tick,4,3,3,0
01:30.0,tick,6,6,6,0
02:00.0,add_passengers,6,9,9,0
02:30.0,tick,6,12,12,0
03:00.0,add_passengers,6,15,9,6
03:30.0,add_passengers,6,18,6,12
04:00.0,add_passengers,6,21,9,12
04:30.0,add_passengers,6,24,12,12
05:00.0,tick,8,27,15,12
05:30.0,tick,10,29,10,19
06:00.0,tick,12,30,5,25
06:30.0,tick,14,36,7,29
07:00.0,tick,16,46,10,36
07:30.0,tick,15,63,26,37
08:00.0,tick,16,73,18,55
08:30.0,tick,15,88,15,73
09:00.0,tick,20,114,15,99
09:30.0,tick,22,120,7,113
10:00.0,tick,24,103,7,96
10:30.0,tick,24,71,1,70
11:00.0,add_passengers,20,52,1,51
11:30.0,updated_bus_passengers,14,38,1,37
12:00.0,tick,12,37,3,34
12:30.0,tick,10,35,5,30
13:00.0,tick,8,35,4,31
13:30.0,tick,8,39,6,33
14:00.0,tick,9,41,5,36
14:30.0,tick,12,47,5,42
15:00.0,tick,12,47,3,44
15:30.0,tick,12,49,7,42
16:00.0,add_passengers,10,56,9,47
16:30.0,add_passengers,8,74,15,59
17:00.0,tick,8,109,49,60
17:30.0,tick,8,149,94,55
18:00.0,tick,11,167,69,98
18:30.0,tick,16,178,31,147
19:00.0,tick,22,188,26,162
19:30.0,tick,27,192,8,184
20:00.0,tick,30,158,2,156
20:30.0,tick,26,106,0,106
21:00.0,tick,21,96,0,96
21:30.0,tick,18,89,0,89
22:00.0,tick,14,90,1,89
22:30.0,tick,13,88,1,87
23:00.0,tick,14,88,1,87
23:30.0,tick,14,88,0,88
00:00.0,add_passengers,12,88,1,87
00:30.0,tick,12,89,2,87
01:00.0,tick,9,90,3,87
01:30.0,tick,10,90,3,87
02:00.0,add_passengers,8,92,4,88
02:30.0,updated_bus_passengers,6,93,5,88
03:00.0,add_passengers,6,95,5,90
03:30.0,add_passengers,4,95,6,89
04:00.0,add_passengers,2,98,9,89
04:30.0,add_passengers,0,97,12,85
05:00.0,tick,2,100,15,85
05:30.0,tick,4,103,18,85
06:00.0,tick,6,106,13,93
06:30.0,tick,8,112,13,99
07:00.0,tick,10,122,11,111
07:30.0,tick,11,141,16,125
08:00.0,tick,14,153,20,133
08:30.0,tick,16,172,16,156
09:00.0,tick,19,197,17,180
09:30.0,tick,22,201,7,194
10:00.0,tick,23,190,7,183
10:30.0,tick,24,166,4,162
11:00.0,updated_bus_passengers,20,146,3,143
11:30.0,updated_bus_passengers,16,140,2,138
12:00.0,updated_bus_passengers,11,133,2,131
12:30.0,tick,10,128,3,125
13:00.0,updated_bus_passengers,11,131,6,125
13:30.0,tick,8,133,5,128
14:00.0,tick,9,136,7,129
14:30.0,tick,12,139,7,132
15:00.0,tick,14,144,7,137
15:30.0,tick,12,142,4,138
16:00.0,updated_bus_passengers,11,149,13,136
16:30.0,updated_bus_passengers,8,158,18,140
17:00.0,tick,10,205,55,150
17:30.0,tick,8,240,89,151
18:00.0,updated_bus_passengers,14,269,65,204
18:30.0,tick,16,266,27,239
19:00.0,tick,21,273,21,252
19:30.0,tick,28,267,5,262
20:00.0,tick,29,229,0,229
20:30.0,tick,26,187,0,187
21:00.0,tick,21,172,0,172
21:30.0,tick,17,171,0,171
22:00.0,tick,14,171,0,171
22:30.0,tick,14,169,0,169
23:00.0,tick,14,168,1,167
