timestamp,type,id,value
00:30.0,Bus,1,0
00:30.0,Bus,2,0
00:30.0,BusStop,A,1
00:30.0,BusStop,B,1
00:30.0,BusStop,D,1
01:00.0,Bus,4,0
01:00.0,Bus,3,0
01:00.0,BusStop,A,2
01:00.0,BusStop,B,2
01:00.0,BusStop,D,2
01:00.0,Bus,2,0
01:00.0,Bus,1,0
01:30.0,Bus,5,0
01:30.0,Bus,6,0
01:30.0,BusStop,A,3
01:30.0,BusStop,B,3
01:30.0,BusStop,D,3
02:00.0,Bus,3,0
02:00.0,Bus,4,0
02:00.0,Bus,7,0
02:00.0,Bus,8,0
02:00.0,BusStop,A,4
02:00.0,BusStop,B,4
02:00.0,BusStop,D,4
02:00.0,Bus,1,0
02:00.0,Bus,2,0
02:30.0,Bus,5,0
02:30.0,Bus,6,0
02:30.0,Bus,9,0
02:30.0,Bus,10,0
02:30.0,BusStop,A,5
02:30.0,BusStop,B,5
02:30.0,BusStop,D,5
03:00.0,Bus,11,0
03:00.0,BusStop,D,2
03:00.0,BusStop,A,6
03:00.0,Bus,12,0
03:00.0,BusStop,D,1
03:00.0,Bus,8,3
03:00.0,BusStop,A,3
03:00.0,BusStop,B,6
03:00.0,Bus,8,3
03:00.0,BusStop,A,1
03:00.0,Bus,4,1
03:00.0,Bus,3,3
03:00.0,BusStop,D,2
03:00.0,Bus,7,2
03:00.0,Bus,4,1
03:00.0,Bus,3,3
03:00.0,Bus,7,2
03:00.0,BusStop,D,1
03:00.0,BusStop,A,0
03:00.0,Bus,1,1
03:00.0,Bus,2,1
03:00.0,Bus,1,1
03:00.0,Bus,2,1
03:00.0,BusStop,D,0
03:00.0,BusStop,A,0
03:00.0,BusStop,A,0
03:00.0,BusStop,D,0
03:00.0,Bus,6,1
03:00.0,Bus,9,0
03:00.0,Bus,6,1
03:00.0,Bus,5,0
03:00.0,Bus,10,0
03:00.0,Bus,9,0
03:00.0,Bus,5,0
03:00.0,Bus,10,0
03:30.0,Bus,13,0
03:30.0,BusStop,A,1
03:30.0,Bus,14,0
03:30.0,BusStop,B,7
03:30.0,BusStop,D,1
03:30.0,BusStop,A,0
03:30.0,Bus,11,1
03:30.0,Bus,11,1
04:00.0,Bus,4,1
04:00.0,Bus,7,2
04:00.0,Bus,8,3
04:00.0,Bus,3,3
04:00.0,Bus,15,0
04:00.0,Bus,16,0
04:00.0,BusStop,D,0
04:00.0,BusStop,A,1
04:00.0,Bus,12,1
04:00.0,BusStop,B,8
04:00.0,Bus,12,1
04:00.0,BusStop,D,1
04:00.0,Bus,1,1
04:00.0,Bus,2,1
04:00.0,Bus,9,0
04:00.0,Bus,10,0
04:00.0,BusStop,B,5
04:00.0,Bus,5,3
04:00.0,BusStop,B,3
04:00.0,Bus,5,3
04:00.0,Bus,6,3
04:00.0,Bus,6,3
04:30.0,Bus,17,0
04:30.0,Bus,18,0
04:30.0,BusStop,D,0
04:30.0,BusStop,A,0
04:30.0,Bus,14,1
04:30.0,BusStop,A,1
04:30.0,Bus,13,1
04:30.0,BusStop,B,4
04:30.0,Bus,14,1
04:30.0,Bus,13,1
04:30.0,BusStop,D,1
04:30.0,BusStop,B,2
04:30.0,Bus,11,3
04:30.0,Bus,11,3
04:30.0,BusStop,B,3
04:30.0,BusStop,D,0
04:30.0,BusStop,B,3
04:30.0,Bus,3,2
04:30.0,Bus,16,1
04:30.0,BusStop,B,2
04:30.0,Bus,7,1
04:30.0,Bus,3,2
04:30.0,Bus,16,1
04:30.0,BusStop,B,1
04:30.0,Bus,4,2
04:30.0,Bus,7,1
04:30.0,Bus,8,3
04:30.0,Bus,4,2
04:30.0,BusStop,A,0
04:30.0,Bus,8,3
04:30.0,Bus,15,1
04:30.0,Bus,15,1
05:00.0,Bus,19,0
05:00.0,BusStop,B,0
05:00.0,Bus,20,0
05:00.0,Bus,12,1
05:00.0,BusStop,A,1
05:00.0,Bus,12,1
05:00.0,BusStop,B,1
05:00.0,BusStop,D,1
05:00.0,BusStop,B,1
05:00.0,Bus,2,0
05:00.0,BusStop,B,0
05:00.0,Bus,2,0
05:00.0,Bus,1,2
05:00.0,Bus,1,2
05:00.0,Bus,5,3
05:00.0,Bus,6,3
05:00.0,BusStop,B,0
05:00.0,Bus,10,0
05:00.0,BusStop,B,0
05:00.0,Bus,10,0
05:00.0,Bus,9,0
05:00.0,Bus,9,0
05:00.0,BusStop,D,0
05:00.0,BusStop,A,0
05:00.0,Bus,18,1
05:00.0,Bus,17,1
05:00.0,Bus,18,1
05:00.0,Bus,17,1
05:30.0,Bus,21,0
05:30.0,Bus,22,0
05:30.0,BusStop,B,1
05:30.0,BusStop,A,1
05:30.0,BusStop,B,0
05:30.0,Bus,13,0
05:30.0,Bus,14,1
05:30.0,Bus,13,0
05:30.0,Bus,14,1
05:30.0,BusStop,B,1
05:30.0,BusStop,D,1
05:30.0,Bus,11,3
05:30.0,Bus,4,2
05:30.0,Bus,7,1
05:30.0,Bus,8,3
05:30.0,Bus,3,2
05:30.0,BusStop,B,1
05:30.0,Bus,15,1
05:30.0,BusStop,B,0
05:30.0,Bus,15,1
05:30.0,Bus,16,2
05:30.0,Bus,16,2
05:30.0,Bus,12,1
05:30.0,BusStop,A,0
05:30.0,BusStop,D,0
05:30.0,Bus,19,1
05:30.0,Bus,19,1
05:30.0,Bus,20,1
05:30.0,Bus,20,1
06:00.0,Bus,23,0
06:00.0,Bus,24,0
06:00.0,BusStop,A,2
06:00.0,BusStop,B,2
06:00.0,BusStop,D,2
06:00.0,BusStop,E,0
06:00.0,BusStop,C,0
06:00.0,Bus,2,0
06:00.0,Bus,1,0
06:00.0,Bus,2,0
06:00.0,Bus,1,0
06:00.0,BusStop,C,0
06:00.0,BusStop,E,0
06:00.0,Bus,5,0
06:00.0,BusStop,E,0
06:00.0,Bus,6,0
06:00.0,Bus,5,0
06:00.0,Bus,10,0
06:00.0,Bus,6,0
06:00.0,Bus,10,0
06:00.0,BusStop,C,0
06:00.0,Bus,9,0
06:00.0,Bus,9,0
06:00.0,BusStop,B,1
06:00.0,BusStop,B,1
06:00.0,Bus,18,2
06:00.0,Bus,18,2
06:00.0,Bus,17,1
06:00.0,Bus,17,1
06:00.0,BusStop,E,0
06:00.0,BusStop,C,0
06:00.0,Bus,14,0
06:00.0,BusStop,D,1
06:00.0,Bus,13,0
06:00.0,Bus,14,0
06:00.0,BusStop,A,1
06:00.0,Bus,22,1
06:00.0,Bus,13,0
06:00.0,Bus,21,1
06:00.0,Bus,22,1
06:00.0,Bus,21,1
06:30.0,Bus,25,0
06:30.0,Bus,26,0
06:30.0,BusStop,A,5
06:30.0,BusStop,B,5
06:30.0,BusStop,D,5
06:30.0,BusStop,C,0
06:30.0,Bus,11,0
06:30.0,Bus,11,0
06:30.0,BusStop,E,0
06:30.0,BusStop,C,0
06:30.0,BusStop,C,0
06:30.0,Bus,4,0
06:30.0,Bus,15,0
06:30.0,BusStop,E,0
06:30.0,BusStop,C,0
06:30.0,Bus,7,1
06:30.0,Bus,4,0
06:30.0,Bus,15,0
06:30.0,BusStop,E,0
06:30.0,Bus,3,0
06:30.0,Bus,8,0
06:30.0,Bus,7,1
06:30.0,Bus,8,0
06:30.0,Bus,3,0
06:30.0,Bus,16,0
06:30.0,BusStop,B,4
06:30.0,BusStop,E,0
06:30.0,Bus,16,0
06:30.0,Bus,20,2
06:30.0,BusStop,B,2
06:30.0,Bus,12,1
06:30.0,Bus,20,2
06:30.0,Bus,19,2
06:30.0,Bus,12,1
06:30.0,Bus,19,2
06:30.0,BusStop,A,2
06:30.0,BusStop,D,2
06:30.0,Bus,23,3
06:30.0,Bus,24,3
06:30.0,Bus,23,3
06:30.0,Bus,24,3
07:00.0,Bus,27,0
07:00.0,Bus,28,0
07:00.0,BusStop,A,9
07:00.0,BusStop,B,9
07:00.0,BusStop,D,9
07:00.0,BusStop,E,0
07:00.0,BusStop,C,0
07:00.0,Bus,18,0
07:00.0,Bus,17,0
07:00.0,Bus,18,0
07:00.0,Bus,17,0
07:00.0,BusStop,B,5
07:00.0,BusStop,B,3
07:00.0,Bus,21,5
07:00.0,Bus,22,2
07:00.0,Bus,21,5
07:00.0,Bus,22,2
07:00.0,BusStop,D,4
07:00.0,BusStop,A,4
07:00.0,Bus,26,5
07:00.0,Bus,25,5
07:00.0,Bus,26,5
07:00.0,Bus,25,5
07:30.0,Bus,29,0
07:30.0,Bus,30,0
07:30.0,BusStop,A,10
07:30.0,BusStop,B,11
07:30.0,BusStop,D,14
07:30.0,BusStop,E,0
07:30.0,BusStop,C,0
07:30.0,Bus,20,0
07:30.0,Bus,19,0
07:30.0,Bus,20,0
07:30.0,Bus,19,0
07:30.0,BusStop,B,9
07:30.0,BusStop,B,4
