timestamp,origin,buses,passengers,waiting_psg,commuting_psg
00:30.0,tick,2,0,0,0
01:00.0,tick,4,3,3,0
01:30.0,tick,6,6,6,0
02:00.0,tick,6,9,9,0
02:30.0,tick,9,12,12,0
03:00.0,tick,11,12,12,0
03:30.0,tick,14,18,6,12
04:00.0,tick,14,21,8,13
04:30.0,tick,18,24,5,19
05:00.0,tick,20,25,1,24
05:30.0,tick,22,26,0,26
06:00.0,tick,24,28,0,28
06:30.0,tick,18,25,3,22
07:00.0,tick,12,23,6,17
07:30.0,tick,12,40,11,29
08:00.0,tick,12,57,16,41
08:30.0,tick,12,79,24,55
09:00.0,tick,12,106,58,48
09:30.0,tick,12,117,30,87
10:00.0,tick,12,110,23,87
10:30.0,tick,12,89,16,73
11:00.0,tick,12,69,11,58
11:30.0,tick,12,57,8,49
12:00.0,tick,11,45,4,41
12:30.0,tick,12,39,4,35
13:00.0,tick,12,39,4,35
13:30.0,tick,12,41,5,36
14:00.0,tick,12,44,5,39
14:30.0,tick,12,46,3,43
15:00.0,tick,12,49,4,45
15:30.0,tick,12,51,7,44
16:00.0,tick,12,57,8,49
16:30.0,tick,12,75,14,61
17:00.0,tick,12,112,26,86
17:30.0,tick,12,152,39,113
18:00.0,tick,12,163,37,126
18:30.0,tick,11,160,32,128
19:00.0,tick,12,154,26,128
19:30.0,tick,12,142,33,109
20:00.0,tick,11,121,22,99
20:30.0,tick,11,103,8,95
21:00.0,tick,12,90,5,85
21:30.0,tick,12,80,4,76
22:00.0,tick,12,74,4,70
22:30.0,tick,11,75,3,72
23:00.0,tick,12,75,5,70
23:30.0,tick,11,75,5,70
00:00.0,add_passengers,10,76,5,71
00:30.0,tick,9,77,5,72
01:00.0,updated_bus_passengers,11,80,4,76
01:30.0,tick,10,76,3,73
02:00.0,tick,10,76,4,72
02:30.0,tick,10,78,4,74
03:00.0,tick,12,79,3,76
03:30.0,tick,11,77,5,72
04:00.0,tick,12,77,2,75
04:30.0,tick,12,75,1,74
05:00.0,tick,12,76,2,74
05:30.0,tick,12,76,2,74
06:00.0,tick,11,77,4,73
06:30.0,tick,12,80,6,74
07:00.0,tick,12,90,15,75
07:30.0,updated_bus_passengers,11,107,24,83
08:00.0,updated_bus_passengers,13,132,35,97
08:30.0,tick,12,143,23,120
09:00.0,updated_bus_passengers,13,185,52,133
09:30.0,tick,12,181,29,152
10:00.0,tick,14,188,32,156
10:30.0,tick,12,155,25,130
11:00.0,tick,13,148,10,138
11:30.0,tick,12,120,4,116
12:00.0,tick,12,114,3,111
12:30.0,tick,12,109,3,106
13:00.0,tick,12,106,4,102
13:30.0,tick,12,111,4,107
14:00.0,tick,12,112,3,109
14:30.0,tick,12,112,8,104
15:00.0,tick,12,113,4,109
15:30.0,tick,12,119,5,114
16:00.0,tick,12,128,9,119
16:30.0,tick,12,138,14,124
17:00.0,tick,12,174,26,148
17:30.0,tick,12,220,57,163
18:00.0,tick,11,233,37,196
18:30.0,updated_bus_passengers,12,238,54,184
19:00.0,tick,11,232,28,204
19:30.0,tick,12,211,22,189
20:00.0,tick,12,189,15,174
20:30.0,tick,12,170,14,156
21:00.0,tick,12,158,8,150
21:30.0,updated_bus_passengers,11,148,5,143
22:00.0,tick,12,139,7,132
22:30.0,updated_bus_passengers,13,142,5,137
23:00.0,tick,12,136,2,134
